CPU 5 the-gibson,User%,Sys%,Wait%,Idle%
2012-12-07 13:18:32,10.8,4.8,0.0,84.3
2012-12-07 13:18:33,3.0,1.0,0.0,96.0
2012-12-07 13:18:34,4.0,0.0,0.0,96.0
2012-12-07 13:18:35,4.0,3.0,0.0,92.9
2012-12-07 13:18:36,9.8,5.9,0.0,84.3
2012-12-07 13:18:37,10.2,1.0,0.0,88.8
2012-12-07 13:18:38,4.0,1.0,0.0,95.0
2012-12-07 13:18:39,5.1,2.0,0.0,92.9
2012-12-07 13:18:40,6.0,5.0,0.0,89.0
2012-12-07 13:18:41,8.8,2.9,0.0,88.2
2012-12-07 13:18:42,7.2,1.0,0.0,91.8
2012-12-07 13:18:43,3.0,1.0,0.0,96.0
2012-12-07 13:18:44,2.0,1.0,0.0,97.0
2012-12-07 13:18:45,8.2,4.1,0.0,87.8
2012-12-07 13:18:46,4.9,2.9,0.0,92.2
2012-12-07 13:18:47,5.0,1.0,0.0,94.0
2012-12-07 13:18:48,4.0,1.0,0.0,95.0
2012-12-07 13:18:49,4.0,2.0,0.0,93.9
2012-12-07 13:18:50,2.0,1.0,0.0,97.0
2012-12-07 13:18:51,8.0,2.0,0.0,90.0
2012-12-07 13:18:52,23.8,3.0,0.0,73.3
2012-12-07 13:18:53,24.5,3.1,0.0,72.4
2012-12-07 13:18:54,8.2,4.1,0.0,87.8
2012-12-07 13:18:55,13.9,4.0,0.0,82.2
2012-12-07 13:18:56,4.0,3.0,0.0,93.0
2012-12-07 13:18:57,6.1,2.0,0.0,91.9
2012-12-07 13:18:58,5.1,3.1,0.0,91.8
2012-12-07 13:18:59,4.0,1.0,0.0,95.0
2012-12-07 13:19:00,7.1,4.1,0.0,88.8
2012-12-07 13:19:01,12.0,3.0,0.0,85.0
2012-12-07 13:19:02,10.2,3.1,0.0,86.7
2012-12-07 13:19:03,7.9,4.0,0.0,88.1
2012-12-07 13:19:04,9.4,6.2,0.0,84.4
2012-12-07 13:19:05,5.1,2.0,2.0,90.8
2012-12-07 13:19:06,12.0,5.0,0.0,83.0
2012-12-07 13:19:07,14.6,4.9,0.0,80.6
2012-12-07 13:19:08,5.2,1.0,0.0,93.8
2012-12-07 13:19:09,11.2,5.1,0.0,83.7
2012-12-07 13:19:10,8.2,2.0,0.0,89.8
2012-12-07 13:19:11,15.0,3.0,1.0,81.0
2012-12-07 13:19:12,7.0,7.0,7.0,79.0
2012-12-07 13:19:13,6.0,1.0,0.0,93.0
2012-12-07 13:19:14,7.1,2.0,0.0,90.9
2012-12-07 13:19:15,5.1,4.0,0.0,90.9
2012-12-07 13:19:16,6.1,2.0,0.0,91.9
2012-12-07 13:19:17,5.7,3.8,0.0,90.5
2012-12-07 13:19:18,7.0,4.0,0.0,89.0
2012-12-07 13:19:19,6.2,1.0,0.0,92.8
2012-12-07 13:19:20,5.2,2.1,0.0,92.8
2012-12-07 13:19:21,4.0,4.0,1.0,91.0
2012-12-07 13:19:22,3.0,1.0,0.0,96.0
2012-12-07 13:19:23,6.1,1.0,0.0,92.9
2012-12-07 13:19:24,8.1,2.0,0.0,89.9
2012-12-07 13:19:25,7.1,0.0,0.0,92.9
2012-12-07 13:19:26,7.1,4.0,0.0,88.9
2012-12-07 13:19:27,7.1,3.0,0.0,89.9
2012-12-07 13:19:29,7.9,1.0,0.0,91.1
2012-12-07 13:19:30,16.8,4.0,0.0,79.2
2012-12-07 13:19:31,13.9,7.9,0.0,78.2
2012-12-07 13:19:32,8.0,2.0,0.0,90.0
2012-12-07 13:19:33,7.9,1.0,0.0,91.1
2012-12-07 13:19:34,13.1,4.0,0.0,82.8
2012-12-07 13:19:35,4.0,2.0,1.0,93.0
2012-12-07 13:19:36,7.1,53.5,31.3,8.1
2012-12-07 13:19:37,11.8,5.5,41.8,40.9
2012-12-07 13:19:38,5.0,4.0,44.0,47.0
2012-12-07 13:19:39,1.0,1.0,0.0,98.0
2012-12-07 13:19:40,2.9,2.9,0.0,94.1
2012-12-07 13:19:41,6.1,0.0,0.0,93.9
2012-12-07 13:19:42,4.0,2.0,0.0,93.9
2012-12-07 13:19:43,7.9,3.0,0.0,89.1
2012-12-07 13:19:44,4.0,2.0,0.0,93.9
2012-12-07 13:19:45,6.1,2.6,0.0,91.3
2012-12-07 13:19:46,12.9,2.0,0.0,85.1
2012-12-07 13:19:47,7.1,3.1,1.0,88.8
2012-12-07 13:19:48,1.0,2.0,0.0,96.9
2012-12-07 13:19:49,4.0,1.0,0.0,94.9
2012-12-07 13:19:50,4.1,30.9,4.1,60.8
2012-12-07 13:19:51,6.2,70.8,22.9,0.0
2012-12-07 13:19:52,11.1,55.6,33.3,0.0
2012-12-07 13:19:53,6.6,9.0,84.4,0.0
2012-12-07 13:19:54,5.1,3.0,91.9,0.0
2012-12-07 13:19:55,3.1,3.1,93.9,0.0
2012-12-07 13:19:56,2.1,2.1,95.8,0.0
2012-12-07 13:19:57,3.1,7.1,89.8,0.0
2012-12-07 13:19:58,6.4,5.6,88.0,0.0
2012-12-07 13:20:02,4.1,5.1,90.8,0.0
2012-12-07 13:20:03,5.9,3.9,90.2,0.0
2012-12-07 13:20:04,8.9,5.0,61.6,24.4
2012-12-07 13:20:07,5.0,3.0,50.0,42.0
2012-12-07 13:20:08,12.1,2.0,0.0,85.9
2012-12-07 13:20:09,9.3,1.9,0.0,88.9
2012-12-07 13:20:10,5.0,2.0,0.0,93.1
2012-12-07 13:20:11,4.9,2.9,0.0,92.2
2012-12-07 13:20:12,10.1,2.0,0.0,87.9
2012-12-07 13:20:13,7.0,3.0,0.0,90.0
2012-12-07 13:20:14,3.0,3.0,0.0,93.9
2012-12-07 13:20:15,5.1,1.0,0.0,93.9
2012-12-07 13:20:16,5.1,4.1,0.0,90.8
2012-12-07 13:20:17,6.1,2.0,0.0,91.9
2012-12-07 13:20:18,5.1,1.0,4.0,89.9
2012-12-07 13:20:19,7.0,2.0,0.0,91.0
2012-12-07 13:20:20,4.1,1.0,0.0,94.9
2012-12-07 13:20:21,2.0,1.0,0.0,97.0
2012-12-07 13:20:22,4.0,3.0,0.0,93.1
2012-12-07 13:20:23,2.0,3.1,0.0,94.9
2012-12-07 13:20:24,1.0,1.0,0.0,98.0
2012-12-07 13:20:25,7.1,2.0,0.0,90.9
2012-12-07 13:20:26,18.0,6.0,5.0,71.0
2012-12-07 13:20:27,4.0,1.0,1.0,94.0
2012-12-07 13:20:28,3.1,1.0,0.0,95.9
2012-12-07 13:20:29,3.0,0.0,0.0,97.0
2012-12-07 13:20:30,3.0,1.0,0.0,96.0
2012-12-07 13:20:31,3.0,2.0,0.0,95.0
2012-12-07 13:20:32,6.1,2.0,0.0,91.8
2012-12-07 13:20:33,3.9,1.0,0.0,95.1
2012-12-07 13:20:34,26.0,8.0,6.0,60.0
2012-12-07 13:20:35,7.0,1.0,0.0,92.0
2012-12-07 13:20:36,3.0,2.0,0.0,95.0
2012-12-07 13:20:37,5.0,0.0,0.0,95.0
